"Date","Flow","Conc","Rainfall","ET"
1965-01-01,1.2629508972168,57,0,0.055
1965-01-02,147.536773945808,117.024198618988,0,0.08
1965-01-03,42.2054037704468,104.070315481187,0,0.11
1965-01-04,126.083790378571,120.641037016174,0,0.075
1965-01-05,145.848288458824,120.97995633824,0,0.09
1965-01-06,148.074116557121,120.949927093898,0,0.11
1965-01-07,145.826483726501,120.383672060032,0,0.1
1965-01-08,140.185954040527,119.804625576478,0.01,0.08
1965-01-09,128.051020034313,118.860809600333,0,0.09
1965-01-10,111.673646667004,117.041720142784,0,0.11
1965-01-11,95.7989073200226,115.536605893905,0,0.11
1965-01-12,83.2865738959312,113.07317586456,0,0.09
1965-01-13,71.582062128067,110.219184544641,0,0.105
1965-01-14,62.822918443203,106.812288104605,0,0.11
1965-01-15,52.7896237750053,102.610152094466,0,0.105
1965-01-16,48.3226026802063,99.301564462926,0,0.11
1965-01-17,40.8191837670803,87.290654181641,0,0.105
1965-01-18,35.7249387435913,78.3791376155474,0,0.115
1965-01-19,32.3832480258942,76.8004241608128,0,0.12
1965-01-20,28.2640731720924,74.3443386947504,0,0.12
1965-01-21,23.9470530018806,70.8200984067786,0,0.115
1965-01-22,20.7919554753304,67.3085792788589,0.01,0.1
1965-01-23,19.946763171196,66.5623584915115,0.025,0.09
1965-01-24,20.116681137085,67.4729366652027,0.015,0.1
1965-01-25,18.9106448140144,66.1953958235867,0.015,0.11
1965-01-26,20.0940799388885,68.4501871191028,0,0.115
1965-01-27,19.3241447796822,68.3680282426612,0,0.105
1965-01-28,17.7943977198601,66.5095400429005,0,0.1
1965-01-29,16.6782483782768,66.1370397348224,0,0.11
1965-01-30,15.9464720306396,64.5939945872861,0,0.125
1965-01-31,14.597729241848,63.2343257882397,0.15,0.13
1965-02-01,73.5086784553528,105.700961229218,0,0.13
1965-02-02,79.425777618885,106.567318599482,0.34,0.125
1965-02-03,53.2996423587799,100.213907409909,0.48,0.11
1965-02-04,24.766750038147,79.0070746912457,0,0.1
1965-02-05,54.4512688512802,99.2248025545995,0.125,0.1
1965-02-06,53.6167335882187,99.2438428168846,0.15,0.08
